party-id,collision-id,party-number,party-type,is-at-fault,is-on-duty-emergency-vehicle,is-hit-and-run,airbag-code,airbag-description,safety-equipment-code,safety-equipment-description,special-information,other-associate-factor,inattention-direction-of-travel,street-or-highway-name,speed-limit,movement-prec-coll-code,movement-prec-coll-description,sobriety-drug-physical-code-1,sobriety-drug-physical-description-1,sobriety-drug-physical-code-2,sobriety-drug-physical-description-2,gender-code,gender-description,stated-age,driver-license-class,driver-license-state-code,race-code,race-desc,v-1-year,v-1-make,v-1-model,v-1-color,v-1-is-vehicle-towed,lane,thru-lanes,total-lanes,is-dre-conducted,column-38,column-39
13894899,4539127,1,Driver,True,False,False,L,AIR BAG DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE NOT IN USE,NONE APPARENT,S,I-880,65,B,PROCEEDING STRAIGHT,B,HBD-UNDER INFLUENCE,,,F,FEMALE,43,C,CA,,,2017,NISS,ALTIMA,WHI,False,1,5,5,False,,
13894891,4539122,3,Driver,,False,False,M,AIR BAG NOT DEPLOYED,F,OCCUPANT SHOULDER HARNESS NOT USED,CELL PHONE NOT IN USE,NONE APPARENT,N,I-880,55,B,PROCEEDING STRAIGHT,A,HAD NOT BEEN DRINKING,,,M,MALE,50,A,CA,,,2017,FRHT,TRUCK TRACTOR- DIESEL,WHI,False,4,4,5,False,,
13894890,4539122,2,Driver,,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE NOT IN USE,NONE APPARENT,N,I-880,65,B,PROCEEDING STRAIGHT,A,HAD NOT BEEN DRINKING,,,M,MALE,21,C,CA,,,2015,TOYT,CAMRY,BLK,False,3,4,5,False,,
13894889,4539122,1,Driver,True,False,True,B,UNKNOWN,B,OCCUPANT UNKNOWN,CELL PHONE USE UNKNOWN,NONE APPARENT,N,I-880,65,R,OTHER,G,IMPAIRMENT_NOT_KNOWN,,,U,UNKNOWN,,,,,,,,,,False,2,4,5,False,,
13894866,4539110,2,Driver,,False,False,L,AIR BAG DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE NOT IN USE,NONE APPARENT,E,I-580,65,B,PROCEEDING STRAIGHT,A,HAD NOT BEEN DRINKING,,,M,MALE,60,C,CA,,,1996,TOYT,COROLLA,BLU,True,2,4,4,False,,
13894865,4539110,1,Driver,True,False,True,B,UNKNOWN,B,OCCUPANT UNKNOWN,CELL PHONE USE UNKNOWN,NONE APPARENT,E,I-580,65,J,CHANGING LANES,G,IMPAIRMENT_NOT_KNOWN,,,,,,,,,,,,,,False,1,4,4,False,,
13894860,4539107,2,Driver,,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE NOT IN USE,NONE APPARENT,N,I-880,45,A,STOPPED,A,HAD NOT BEEN DRINKING,,,M,MALE,47,C,CA,,,2023,TESL,MODEL Y,WHI,True,1,4,4,False,,
13894859,4539107,1,Driver,True,False,False,L,AIR BAG DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE NOT IN USE,NONE APPARENT,N,I-880,45,B,PROCEEDING STRAIGHT,A,HAD NOT BEEN DRINKING,,,F,FEMALE,55,C,CA,,,2009,TOYT,RAV4,BRO,True,1,4,4,False,,
13894808,4539079,1,Driver,True,False,True,M,AIR BAG NOT DEPLOYED,B,OCCUPANT UNKNOWN,CELL PHONE USE UNKNOWN,NONE APPARENT,N,I-880 N/B TO HEGENBERGER RD.,65,E,MAKING LEFT TURN,G,IMPAIRMENT_NOT_KNOWN,,,U,UNKNOWN,,,CA,,,2008,TOYT,COROLLA,SIL,False,LT-1,0,3,False,,
13894776,4539060,2,Driver,,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE NOT IN USE,NONE APPARENT,N,I-880,65,H,SLOWING/STOPPING,A,HAD NOT BEEN DRINKING,,,M,MALE,71,A,CA,,,2024,VOLK,VNR,BLU,False,4,4,6,False,,
13894775,4539060,1,Driver,True,False,True,B,UNKNOWN,B,OCCUPANT UNKNOWN,CELL PHONE USE UNKNOWN,NONE APPARENT,N,I-880,65,B,PROCEEDING STRAIGHT,G,IMPAIRMENT_NOT_KNOWN,,,,,,,,,,,,,,False,4,4,6,False,,
13894747,4539043,2,Driver,,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE NOT IN USE,NONE APPARENT,E,I-580,65,A,STOPPED,A,HAD NOT BEEN DRINKING,,,M,MALE,35,C,CA,,,2018,FORD,FUSION,WHI,False,2,4,5,False,,
13894746,4539043,1,Driver,True,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE NOT IN USE,NONE APPARENT,E,I-580,65,B,PROCEEDING STRAIGHT,A,HAD NOT BEEN DRINKING,,,M,MALE,29,C,CA,,,2015,HOND,ACCORD,WHI,False,2,4,5,False,,
13894732,4539036,2,Driver,,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE NOT IN USE,NONE APPARENT,S,SR-13,65,B,PROCEEDING STRAIGHT,A,HAD NOT BEEN DRINKING,,,F,FEMALE,30,C,CA,,,2024,JEEP,CHEROKEE,MAR,False,2,2,2,False,,
13894731,4539036,1,Driver,True,False,True,B,UNKNOWN,B,OCCUPANT UNKNOWN,CELL PHONE USE UNKNOWN,NONE APPARENT,S,SR-13,65,J,CHANGING LANES,G,IMPAIRMENT_NOT_KNOWN,,,,,,,,,,,,,,False,1,2,2,False,,
13894725,4539031,2,Driver,,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE NOT IN USE,NONE APPARENT,W,I-580,65,B,PROCEEDING STRAIGHT,A,HAD NOT BEEN DRINKING,,,M,MALE,44,C,CA,,,2013,TOYT,PRIUS,WHI,False,4,5,5,False,,
13894724,4539031,1,Driver,True,False,True,B,UNKNOWN,B,OCCUPANT UNKNOWN,CELL PHONE USE UNKNOWN,NONE APPARENT,W,I-580,65,J,CHANGING LANES,G,IMPAIRMENT_NOT_KNOWN,,,,,,,,,,,,,,False,3,5,5,False,,
13894675,4539006,2,Driver,,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE NOT IN USE,NONE APPARENT,N,I-880,65,B,PROCEEDING STRAIGHT,A,HAD NOT BEEN DRINKING,,,F,FEMALE,34,C,CA,,,2020,TOYT,RAV4,WHI,False,4,4,5,False,,
13894674,4539006,1,Driver,True,False,True,B,UNKNOWN,B,OCCUPANT UNKNOWN,CELL PHONE USE UNKNOWN,NONE APPARENT,N,I-880,65,J,CHANGING LANES,G,IMPAIRMENT_NOT_KNOWN,,,,,,,,,,,,,,False,3,4,5,False,,
13894273,4538811,2,Driver,,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE NOT IN USE,NONE APPARENT,S,I-880,65,B,PROCEEDING STRAIGHT,A,HAD NOT BEEN DRINKING,,,M,MALE,34,C,CA,,,2024,FORD,F150,GRY,False,3,4,4,False,,
13894272,4538811,1,Driver,True,False,True,B,UNKNOWN,B,OCCUPANT UNKNOWN,CELL PHONE NOT IN USE,NONE APPARENT,S,I-880,65,R,OTHER,A,HAD NOT BEEN DRINKING,,,,,,,,,,,,,,False,4,4,4,False,,
13892759,4538051,2,Driver,,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE NOT IN USE,NONE APPARENT,N,STATE ROUTE 13,55,B,PROCEEDING STRAIGHT,A,HAD NOT BEEN DRINKING,,,M,MALE,53,C,CA,,,2023,KIA,CARNIVAL,BLK,False,2,2,3,False,,
13892758,4538051,1,Driver,True,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE NOT IN USE,NONE APPARENT,N,STATE ROUTE 13,55,P,MERGING,A,HAD NOT BEEN DRINKING,,,F,FEMALE,20,C,CA,,,2013,MERZ,CLS500,WHI,False,AUX,2,3,False,,
13892171,4537745,2,Driver,,False,False,P,NOT REQUIRED,W,MOTOR BICYCLE DRIVER WITH HELMET,CELL PHONE NOT IN USE,NONE APPARENT,W,I-580,65,B,PROCEEDING STRAIGHT,A,HAD NOT BEEN DRINKING,,,M,MALE,26,U,CA,,,2015,KTM,390 ADVENTURE,ONG,False,2,3,3,False,,
13892170,4537745,1,Driver,True,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE NOT IN USE,NONE APPARENT,W,I-580,65,J,CHANGING LANES,A,HAD NOT BEEN DRINKING,,,F,FEMALE,23,C,CA,,,2005,HOND,ACCORD,GRY,False,1,3,3,False,,
13891675,4537494,2,Driver,,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE NOT IN USE,NONE APPARENT,W,SR-24,65,B,PROCEEDING STRAIGHT,A,HAD NOT BEEN DRINKING,,,F,FEMALE,29,C,CA,,,2022,TOYT,RAV4,GRY,False,4,4,4,False,,
13891674,4537494,1,Driver,True,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE NOT IN USE,NONE APPARENT,W,SR-24,65,B,PROCEEDING STRAIGHT,A,HAD NOT BEEN DRINKING,,,M,MALE,20,U,CA,,,2002,TOYT,TACOMA,BLK,False,4,4,4,False,,
13891637,4537479,2,Driver,,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE NOT IN USE,NONE APPARENT,W,SR-24,55,B,PROCEEDING STRAIGHT,A,HAD NOT BEEN DRINKING,,,F,FEMALE,28,C,CA,,,2021,TOYT,TACOMA,WHI,False,4,4,5,False,,
13891636,4537479,1,Driver,True,False,True,B,UNKNOWN,B,OCCUPANT UNKNOWN,CELL PHONE USE UNKNOWN,NONE APPARENT,W,SR-24,55,J,CHANGING LANES,G,IMPAIRMENT_NOT_KNOWN,,,,,,,,,,,,,,False,3,4,5,False,,
13891505,4537412,2,Driver,,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE NOT IN USE,NONE APPARENT,S,SR-13,65,B,PROCEEDING STRAIGHT,G,IMPAIRMENT_NOT_KNOWN,,,F,FEMALE,51,C,CA,,,2017,HOND,CIVIC,BLK,False,1,2,3,False,,
13891504,4537412,1,Driver,True,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE NOT IN USE,NONE APPARENT,S,SR-13,65,J,CHANGING LANES,A,HAD NOT BEEN DRINKING,,,M,MALE,24,U,CA,,,2011,TOYT,COROLLA,BLK,False,2,2,3,False,,
13891438,4537379,2,Driver,,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE USE UNKNOWN,NONE APPARENT,E,I-580,65,B,PROCEEDING STRAIGHT,G,IMPAIRMENT_NOT_KNOWN,,,F,FEMALE,25,C,CA,,,2020,NISS,VERSA,BLK,False,4,4,4,False,,
13891437,4537379,1,Driver,True,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE NOT IN USE,NONE APPARENT,E,I-580,65,J,CHANGING LANES,A,HAD NOT BEEN DRINKING,,,M,MALE,57,C,CA,,,2016,TOYT,PRIUS,GRN,False,3,4,4,False,,
13891401,4537359,2,Driver,,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE NOT IN USE,NONE APPARENT,W,I-580 W/B,65,B,PROCEEDING STRAIGHT,A,HAD NOT BEEN DRINKING,,,F,FEMALE,28,C,CA,,,2022,TOYT,COROLLA,BLU,False,3,4,4,False,,
13891400,4537359,1,Driver,True,False,True,B,UNKNOWN,B,OCCUPANT UNKNOWN,CELL PHONE USE UNKNOWN,NONE APPARENT,W,I-580 W/B,65,B,PROCEEDING STRAIGHT,G,IMPAIRMENT_NOT_KNOWN,,,,,,,,,,,,,,False,3,4,4,False,,
13891176,4537245,2,Driver,,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE NOT IN USE,NONE APPARENT,S,I-880,65,B,PROCEEDING STRAIGHT,A,HAD NOT BEEN DRINKING,,,M,MALE,32,C,CA,,,2018,TOYT,TACOMA,WHI,False,1,2,2,False,,
13891175,4537245,1,Driver,True,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE USE UNKNOWN,NONE APPARENT,S,I-880,65,R,OTHER,G,IMPAIRMENT_NOT_KNOWN,,,F,FEMALE,19,C,CA,,,2016,TOYT,COROLLA,GRY,False,1,2,2,False,,
13891032,4537171,2,Driver,,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE NOT IN USE,NONE APPARENT,E,I-980,65,H,SLOWING/STOPPING,A,HAD NOT BEEN DRINKING,,,F,FEMALE,48,C,CA,,,2023,FORD,MACH-E,RED,False,1,2,2,False,,
13891031,4537171,1,Driver,True,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE NOT IN USE,NONE APPARENT,E,I-980,65,B,PROCEEDING STRAIGHT,A,HAD NOT BEEN DRINKING,,,M,MALE,62,C,CA,,,2016,VOLK,PASSAT,SIL,False,1,2,2,False,,
13890634,4536970,2,Driver,,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE NOT IN USE,NONE APPARENT,N,I-880,65,H,SLOWING/STOPPING,A,HAD NOT BEEN DRINKING,,,M,MALE,42,C,CA,,,2020,HINO,268,WHI,False,3,4,4,False,,
13890633,4536970,1,Driver,True,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE NOT IN USE,NONE APPARENT,N,I-880,65,B,PROCEEDING STRAIGHT,A,HAD NOT BEEN DRINKING,,,M,MALE,28,F,WA,,,2020,INTL,MV607,YEL,False,3,4,4,False,,
13890589,4536950,2,Driver,,False,True,B,UNKNOWN,B,OCCUPANT UNKNOWN,CELL PHONE USE UNKNOWN,NONE APPARENT,N,I-880,65,B,PROCEEDING STRAIGHT,G,IMPAIRMENT_NOT_KNOWN,,,U,UNKNOWN,,,,,,,,,,False,4,4,4,False,,
13890588,4536950,1,Driver,True,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE NOT IN USE,NONE APPARENT,N,I-880,65,C,RAN OFF ROAD,A,HAD NOT BEEN DRINKING,I,SLEEPY/FATIGUED,M,MALE,72,C,CA,,,2022,VOLK,JETTA,BLK,False,4,4,4,False,,
13889862,4536568,1,Driver,True,False,True,L,AIR BAG DEPLOYED,B,OCCUPANT UNKNOWN,CELL PHONE USE UNKNOWN,PREVIOUS COLLISION,S,I-880 N/B TO 5TH AVE,65,Q,TRAVELLING WRONG WAY,G,IMPAIRMENT_NOT_KNOWN,,,U,UNKNOWN,,,,,,2023,HYUN,SANTA FE,RED,False,EXIT,1,1,False,,
13889827,4536549,1,Driver,True,False,True,L,AIR BAG DEPLOYED,B,OCCUPANT UNKNOWN,CELL PHONE USE UNKNOWN,NONE APPARENT,N,INTERSTATE 880,65,B,PROCEEDING STRAIGHT,G,IMPAIRMENT_NOT_KNOWN,,,U,UNKNOWN,,,,,,2023,HYUN,SANTA FE,RED,True,EXIT,1,1,False,,
13889371,4536315,1,Driver,,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE NOT IN USE,NONE APPARENT,S,SR-13,65,B,PROCEEDING STRAIGHT,A,HAD NOT BEEN DRINKING,,,F,FEMALE,42,C,CA,,,2006,TOYT,PRIUS,GRY,False,2,2,2,False,,
13889363,4536311,2,Driver,,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE NOT IN USE,NONE APPARENT,W,I-580,65,H,SLOWING/STOPPING,A,HAD NOT BEEN DRINKING,,,F,FEMALE,42,C,CA,,,2016,TOYT,CAMRY,WHI,False,4,4,4,False,,
13889362,4536311,1,Driver,True,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE NOT IN USE,NONE APPARENT,W,I-580,65,B,PROCEEDING STRAIGHT,A,HAD NOT BEEN DRINKING,,,M,MALE,28,C,CA,,,2015,FORD,F-550,WHI,False,4,4,4,False,,
13889334,4536294,2,Driver,,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE NOT IN USE,NONE APPARENT,S,I880,65,B,PROCEEDING STRAIGHT,A,HAD NOT BEEN DRINKING,,,M,MALE,21,F,IN,,,2020,FORD,F150,WHI,False,1,2,2,False,,
13889333,4536294,1,Driver,True,False,True,B,UNKNOWN,B,OCCUPANT UNKNOWN,CELL PHONE USE UNKNOWN,NONE APPARENT,S,I880,65,J,CHANGING LANES,G,IMPAIRMENT_NOT_KNOWN,,,,,,,,,,,,,,False,2,2,2,False,,
13889302,4536279,2,Driver,,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE NOT IN USE,NONE APPARENT,W,I-580,65,B,PROCEEDING STRAIGHT,A,HAD NOT BEEN DRINKING,,,F,FEMALE,49,C,CA,,,2015,LEXS,NX200T,GRY,False,3,4,4,False,,
13889301,4536279,1,Driver,True,False,True,B,UNKNOWN,B,OCCUPANT UNKNOWN,CELL PHONE USE UNKNOWN,NONE APPARENT,W,I-580,65,J,CHANGING LANES,G,IMPAIRMENT_NOT_KNOWN,,,U,UNKNOWN,,,,,,,,,,False,4,4,4,False,,
13889290,4536273,2,Driver,,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE NOT IN USE,NONE APPARENT,N,I-880,65,B,PROCEEDING STRAIGHT,A,HAD NOT BEEN DRINKING,,,F,FEMALE,60,C,CA,,,2021,NISS,ROGUE,SIL,False,3,4,4,False,,
13889289,4536273,1,Driver,True,False,True,B,UNKNOWN,B,OCCUPANT UNKNOWN,CELL PHONE USE UNKNOWN,NONE APPARENT,N,I-880,65,J,CHANGING LANES,G,IMPAIRMENT_NOT_KNOWN,,,U,UNKNOWN,,,,,,,,,,False,2,4,4,False,,
13889272,4536263,2,Driver,,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE NOT IN USE,NONE APPARENT,E,I-580,65,B,PROCEEDING STRAIGHT,A,HAD NOT BEEN DRINKING,,,M,MALE,30,F,GA,,,2025,SUBA,FORESTER,GRY,False,4,5,5,False,,
13889271,4536263,1,Driver,True,False,True,B,UNKNOWN,B,OCCUPANT UNKNOWN,CELL PHONE USE UNKNOWN,NONE APPARENT,E,I-580,65,B,PROCEEDING STRAIGHT,G,IMPAIRMENT_NOT_KNOWN,,,,,,,,,,,,,,False,4,5,5,False,,
13888664,4535945,2,Driver,,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE NOT IN USE,NONE APPARENT,E,I-580,65,B,PROCEEDING STRAIGHT,A,HAD NOT BEEN DRINKING,,,F,FEMALE,51,C,CA,,,2023,VOLV,XC60,BLU,False,2,5,5,False,,
13888663,4535945,1,Driver,True,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE NOT IN USE,NONE APPARENT,E,I-580,65,J,CHANGING LANES,A,HAD NOT BEEN DRINKING,,,F,FEMALE,45,U,CA,,,2018,HYUN,KONA,RED,False,3,5,5,False,,
13887635,4535404,2,Driver,,False,,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE NOT IN USE,NONE APPARENT,W,2200 E 12TH ST,40,E,MAKING LEFT TURN,H,NOT APPLICABLE,,,M,MALE,,C,CA,,,2013,FORD,FUS,BLK,,1,3,3,False,,
13887634,4535404,1,Driver,True,False,,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE NOT IN USE,OTHER,W,2200 E 12TH ST,40,F,MAKING U TURN,H,NOT APPLICABLE,,,F,FEMALE,29,C,CA,,,2011,INFI,G37,SIL,,2,3,3,False,,
13884122,4533612,3,Driver,,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE NOT IN USE,NONE APPARENT,N,I-880 N/B TO 98TH AVE,65,B,PROCEEDING STRAIGHT,A,HAD NOT BEEN DRINKING,,,M,MALE,36,C,CA,,,2003,HOND,ACCORD,GRY,False,LT-1,0,3,False,,
13884121,4533612,2,Driver,,False,False,M,AIR BAG NOT DEPLOYED,G,OCCUPANT LAP SHOULDER HARNESS USED,CELL PHONE NOT IN USE,NONE APPARENT,N,I-880 N/B TO 98TH AVE,65,A,STOPPED,A,HAD NOT BEEN DRINKING,,,M,MALE,51,C,CA,,,2024,TESL,MODEL 3,BLU,False,LT-1,0,3,False,,
